Provider Name,Service Type,Contact Name,Phone,Email,Website,Accepting New Patients,Cost of Service,Payment Methods,Eligibility,Opening Hours,Full Address,Languages,Validated?,Probability of validated,Source
UW Medicine Primary Care at Northgate,Primary Care,Dr. Kimberly L. Collins,206-528-8000,Not provided,https://www.uwmedicine.org/locations/primary-care-northgate,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"314 NE Thornton Pl, Seattle, WA 98125",English,,,
Swedish First Hill Primary Care,Primary Care,Not specified,Not provided,Not provided,https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care,Not specified,Visits start at $99,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"747 Broadway, Seattle, WA 98122",English,,,
Wise Patient Internal Medicine,Internal Medicine,"Janna Cuneo, NP",206-466-5937,waitlist@wisepatientim.com,https://imwisepatient.com/,Yes,Not specified,"Insurance, Self-pay",Open to all,Mon-Fri: 9am-5pm,"1145 Broadway, Seattle, WA 98122",English,,,
The Polyclinic,Multi-Specialty Care,Not specified,Not provided,Not provided,https://www.polyclinic.com/provider-lookup.html,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"Multiple locations in Seattle, WA",English,,,
Virginia Mason Medical Center,Multi-Specialty Care,Not specified,Not provided,Not provided,https://www.vmfh.org/find-a-location/franciscan-medical-clinic-west-seattle-291214,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"1100 9th Ave, Seattle, WA 98101",English,,,
Franciscan Medical Clinic - West Seattle,Primary Care,Michel (Marty) Couret,Not provided,Not provided,https://www.vmfh.org/find-a-location/franciscan-medical-clinic-west-seattle-291214,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"4550 Fauntleroy Way SW, Suite 100, Seattle, WA 98126",English,,,
EvergreenHealth,General Healthcare,Not specified,Not provided,Not provided,https://en.wikipedia.org/wiki/EvergreenHealth,Not specified,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"12040 NE 128th St, Kirkland, WA 98034",English,,,
Northwest Kidney Centers,Dialysis Services,Not specified,Not provided,Not provided,https://en.wikipedia.org/wiki/Northwest_Kidney_Centers,Not specified,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"Multiple locations in Seattle, WA",English,,,
Seattle Children's Hospital,Pediatric Care,Not specified,206-987-2000,Not provided,https://www.seattlechildrens.org/,Yes,Varies,"Insurance, Medicaid",Children,24/7,"4800 Sand Point Way NE, Seattle, WA 98105",English,,,
Harborview Medical Center,Emergency and Trauma,Not specified,206-744-3000,Not provided,,Yes,Varies,"Insurance, Medicaid",Open to all,24/7,"325 9th Ave, Seattle, WA 98104",English,,,
International Community Health Services (ICHS),Community Health,Not specified,206-788-3700,Not provided,https://www.ichs.com/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"720 8th Ave S, Seattle, WA 98104","English, Chinese, Vietnamese, Korean, Tagalog",,,
Neighborcare Health,Community Health,Not specified,206-548-5710,info@neighborcare.org,https://neighborcare.org/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"1200 12th Ave S, Suite 901, Seattle, WA 98144","English, Spanish",,,
Country Doctor Community Health Centers,Primary Care,Not specified,206-299-1600,Not provided,https://www.countrydoctor.org/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"500 19th Ave E, Seattle, WA 98112","English, Spanish",,,
HealthPoint,Primary Care,Not specified,425-277-1311,Not provided,https://www.healthpointchc.org/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"955 Powell Ave SW, Renton, WA 98057","English, Spanish, Multiple",,,
Seattle Indian Health Board,Native American Health,Not specified,206-324-9360,Not provided,https://www.sihb.org/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"611 12th Ave S, Seattle, WA 98144","English, Native Languages",,,
Sea Mar Community Health Centers,Comprehensive Health,Not specified,206-763-5277,Not provided,https://www.seamar.org/,Yes,Sliding scale,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"1040 S Henderson St, Seattle, WA 98108","English, Spanish",,,
The Everett Clinic,Multi-Specialty Care,Not specified,425-259-0966,Not provided,https://www.everettclinic.com/,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"3901 Hoyt Ave, Everett, WA 98201",English,,,
Overlake Medical Center & Clinics,General Healthcare,Not specified,425-688-5000,Not provided,https://www.overlakehospital.org/,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1035 116th Ave NE, Bellevue, WA 98004",English,,,
Kaiser Permanente Washington,Integrated Healthcare,Not specified,206-630-3000,Not provided,,Yes,Varies,"Insurance, Self-pay",Members,Mon-Fri: 8am-5pm,"Multiple locations in Seattle, WA",English,,,
Pacific Medical Centers,Multi-Specialty Care,Not specified,206-621-4045,Not provided,https://www.pacificmedicalcenters.org/,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"Multiple locations in Seattle, WA",English,,,
Swedish Medical Center,General Healthcare,Not specified,206-386-6000,Not provided,https://www.swedish.org/,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"747 Broadway, Seattle, WA 98122",English,,,
Virginia Mason Franciscan Health,General Healthcare,Not specified,206-223-6600,Not provided,https://www.vmfh.org/,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1100 9th Ave, Seattle, WA 98101",English,,,
University of Washington Medical Center,General Healthcare,Not specified,206-598-3300,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1959 NE Pacific St, Seattle, WA 98195",English,,,
Swedish Medical Center - Ballard Campus,General Healthcare,Not specified,206-781-6209,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"5300 Tallman Ave NW, Seattle, WA 98107",English,,,
Swedish Medical Center - Cherry Hill Campus,General Healthcare,Not specified,206-320-2000,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"500 17th Ave, Seattle, WA 98122",English,,,
Swedish Medical Center - First Hill Campus,General Healthcare,Not specified,206-386-6000,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"747 Broadway, Seattle, WA 98122",English,,,
Swedish Medical Center - Issaquah Campus,General Healthcare,Not specified,425-313-4000,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"751 NE Blakely Dr, Issaquah, WA 98029",English,,,
Virginia Mason Hospital & Seattle Medical Center,General Healthcare,Not specified,206-223-6600,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1100 9th Ave, Seattle, WA 98101",English,,,
Harborview Medical Center,Emergency and Trauma,Not specified,206-744-3000,Not provided,,Yes,Varies,"Insurance, Medicaid",Open to all,24/7,"325 9th Ave, Seattle, WA 98104",English,,,
Seattle Children's Hospital,Pediatric Care,Not specified,206-987-2000,Not provided,https://www.seattlechildrens.org/,Yes,Varies,"Insurance, Medicaid",Children,24/7,"4800 Sand Point Way NE, Seattle, WA 98105",English,,,
Northwest Hospital & Medical Center,General Healthcare,Not specified,206-364-0500,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1550 N 115th St, Seattle, WA 98133",English,,,
Kindred Hospital Seattle - First Hill,Long-Term Acute Care,Not specified,206-682-2661,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1334 Terry Ave, Seattle, WA 98101",English,,,
Kindred Hospital Seattle - Northgate,Long-Term Acute Care,Not specified,206-364-2050,Not provided,,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"10631 8th Ave NE, Seattle, WA 98125",English,,,
Overlake Medical Center & Clinics,General Healthcare,Not specified,425-688-5000,Not provided,https://www.overlakehospital.org/,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"1035 116th Ave NE, Bellevue, WA 98004",English,,,
EvergreenHealth Medical Center,General Healthcare,Not specified,425-899-1000,Not provided,https://www.evergreenhealth.com/,Yes,Varies,"Insurance, Self-pay",Open to all,24/7,"12040 NE 128th St, Kirkland, WA 98034",English,,,
Valley Medical Center,General Healthcare,Not specified,425-228-3450,Not provided,https://www.valleymed.org/,Yes,Varies,"Insurance, Self-pay",Open to all,24,,,,,
Hopelink,Social Services,Not specified,425-869-6000,Not provided,hopelink.org,Yes,Varies,"Free, Donations accepted",Low-income individuals and families,Mon-Fri: 8:30am-5pm,"8990 154th Ave NE, Redmond, WA 98052","English, Spanish",,,
Low Income Housing Institute (LIHI),Housing Services,Not specified,206-443-9935,Not provided,lihi.org,Yes,Varies,Subsidized rent,Low-income individuals and families,Mon-Fri: 9am-5pm,"1253 S Jackson St, Seattle, WA 98144",English,,,
National Asian Pacific Center on Aging (NAPCA),Senior Services,Not specified,206-624-1221,Not provided,napca.org,Yes,Free,Not applicable,Asian American and Pacific Islander seniors,Mon-Fri: 8:30am-5pm,"1511 3rd Ave, Suite 914, Seattle, WA 98101","English, Mandarin, Cantonese, Korean, Vietnamese",,,
King County Housing Repair Program,Housing Repair Assistance,Not specified,206-263-9095,Not provided,kingcounty.gov,Yes,Free,Not applicable,King County homeowners meeting income requirements,Mon-Fri: 8:30am-4:30pm,"401 5th Ave, Suite 510, Seattle, WA 98104",English,,,
Community Living Connections,Aging and Disability Services,Not specified,206-962-8467,Not provided,agingkingcounty.org,Yes,Free,Not applicable,Older adults and adults with disabilities in King County,Mon-Fri: 8:30am-5pm,"810 3rd Ave, Suite 425, Seattle, WA 98104",English,,,
211 Community Information Line,Information and Referral Services,Not specified,211,Not provided,win211.org,Yes,Free,Not applicable,Open to all,24/7,Not applicable,"English, Spanish, Multiple languages via interpreter services",,,
Seattle Human Services Department,Social Services,Not specified,206-386-1001,Not provided,seattle.gov,Yes,Varies,Not applicable,Residents of Seattle,Mon-Fri: 8am-5pm,"700 5th Ave, Suite 5800, Seattle, WA 98104",English,,,
WorkSource Seattle-King County,Employment Services,Not specified,206-477-7000,Not provided,worksourceskc.org,Yes,Free,Not applicable,Job seekers in King County,Mon-Fri: 8am-5pm,"500 SW 7th St, Renton, WA 98057",English,,,
Solid Ground,Anti-Poverty and Social Services,Not specified,206-694-6700,info@solid-ground.org,solid-ground.org,Yes,Free,Not applicable,Low-income individuals and families,Mon-Fri: 8:30am-5pm,"1501 N 45th St, Seattle, WA 98103","English, Spanish",,,
Catholic Community Services of Western Washington,Social Services,Not specified,206-328-5696,Not provided,ccsww.org,Yes,Varies,"Insurance, Self-pay, Sliding scale",Open to all,Mon-Fri: 8am-5pm,"100 23rd Ave S, Seattle, WA 98144","English, Spanish",,,
Asian Counseling and Referral Service (ACRS),Behavioral Health and Social Services,Not specified,206-695-7600,Not provided,acrs.org,Yes,Varies,"Insurance, Medicaid, Sliding scale",Primarily Asian American and Pacific Islander communities,Mon-Fri: 8:30am-5pm,"3639 Martin Luther King Jr Way S, Seattle, WA 98144","English, Multiple Asian languages",,,
Jewish Family Service,Social Services,Not specified,206-461-3240,Not provided,jfsseattle.org,Yes,Varies,"Insurance, Self-pay, Sliding scale",Open to all,Mon-Fri: 9am-5pm,"1601 16th Ave, Seattle, WA 98122",English,,,
El Centro de la Raza,Social Services and Community Advocacy,Not specified,206-957-4634,info@elcentrodelaraza.org,elcentrodelaraza.org,Yes,Varies,Not applicable,Primarily Latino community,Mon-Fri: 8am-5pm,"2524 16th Ave S, Seattle, WA 98144","English, Spanish",,,
Refugee Women's Alliance (ReWA),Refugee and Immigrant Services,Not specified,206-721-0243,Not provided,rewa.org,Yes,Free,Not applicable,Refugee and immigrant women and families,Mon-Fri: 8am-5pm,"4008 Martin Luther King Jr Way S, Seattle, WA 98108","English, Multiple languages",,,
Downtown Emergency Service Center (DESC),Homeless Services,Not specified,206-464-1570,Not provided,desc.org,Yes,Free,Not applicable,Homeless individuals in Seattle,,,,,,
Hopelink,Comprehensive Social Services,Not specified,425-869-6000,Not provided,https://en.wikipedia.org/wiki/Hopelink,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"8990 154th Ave NE, Redmond, WA 98052",English,,,
Solid Ground,Anti-Poverty and Social Services,Not specified,206-694-6700,Not provided,https://en.wikipedia.org/wiki/Solid_Ground_%28Seattle%29,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"1501 N 45th St, Seattle, WA 98103",English,,,
Low Income Housing Institute (LIHI),Affordable Housing,Not specified,206-443-9935,Not provided,https://en.wikipedia.org/wiki/Low_Income_Housing_Institute,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"1253 S Jackson St, Suite A, Seattle, WA 98144",English,,,
National Asian Pacific Center on Aging (NAPCA),Senior Services,Not specified,206-624-1221,Not provided,https://en.wikipedia.org/wiki/National_Asian_Pacific_Center_on_Aging,Yes,Varies,"Insurance, Self-pay",Asian American and Pacific Islander seniors,Mon-Fri: 8am-5pm,"1511 3rd Ave, Suite 914, Seattle, WA 98101","English, Mandarin, Cantonese, Korean, Vietnamese",,,
King County Department of Community and Human Services (DCHS),Community and Human Services,Not specified,206-263-9100,Not provided,https://kingcounty.gov/en/dept/dchs,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"401 5th Ave, Suite 500, Seattle, WA 98104",English,,,
Seattle Human Services Department,Human Services,Not specified,206-386-1001,Not provided,https://www.seattle.gov/human-services,Yes,Varies,"Insurance, Self-pay",Open to all,Mon-Fri: 8am-5pm,"700 5th Ave, Suite 5800, Seattle, WA 98104",English,,,
