Provider Name,Field,Status,Message,Source
UW Medicine Primary Care at Northgate,Website,Validated,The website URL for UW Medicine Primary Care at Northgate is correct.,https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Phone,Validated,The phone number 206-528-8000 is correct for UW Medicine Primary Care at Northgate.,https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Accepting New Patients,Validated,"Multiple providers at UW Medicine Primary Care at Northgate are accepting new patients, including Karime Bolivar, MD.",https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Full Address,Validated,"The address 314 NE Thornton Pl, Seattle, WA 98125 is correct for UW Medicine Primary Care at Northgate.",https://www.uwmedicine.org/locations/primary-care-northgate; https://www.mapquest.com/us/washington/uw-medicine-primary-care-at-northgate-284237360
UW Medicine Primary Care at Northgate,Email,Validated,No email address is provided for UW Medicine Primary Care at Northgate in the search results.,https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Probability of validated,Validated,"The clinic hours are correct: Monday-Thursday 8am-8pm, Friday 8am-5pm, Saturday 8:30am-4pm, Sunday closed.",https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Opening Hours,Incorrect,"The opening hours are Mon-Thu: 8am-8pm, Fri: 8am-5pm, Sat: 8:30am-4pm, Sun: Closed",https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Contact Name,Validated,Dr. Kimberly L. Collins is confirmed as a provider at UW Medicine Primary Care at Northgate.,https://www.uwmedicine.org/locations/primary-care-northgate; https://www.uwmedicine.org/bios/kimberly-collins
UW Medicine Primary Care at Northgate,Source,Validated,"The address, phone number, and hours of operation are correct for UW Medicine Primary Care at Northgate.",https://www.uwmedicine.org/locations/primary-care-northgate; https://find-human-services.kingcounty.gov/search/444b43fc-02d9-5316-ba7b-f25d3c1164cd
UW Medicine Primary Care at Northgate,Validated?,Validated,"The address, phone number, and hours of operation are correct for UW Medicine Primary Care at Northgate.",https://www.uwmedicine.org/locations/primary-care-northgate; https://find-human-services.kingcounty.gov/search/444b43fc-02d9-5316-ba7b-f25d3c1164cd
UW Medicine Primary Care at Northgate,Cost of Service,Needs Work,The cost of service varies depending on the specific care needed and insurance coverage. Patients can request price estimates prior to visits. UW Medicine offers financial assistance options for those who qualify.,https://www.uwmedicine.org/patient-resources/billing-and-insurance/estimate-options; https://www.uwmedicine.org/locations/primary-care-northgate
UW Medicine Primary Care at Northgate,Payment Methods,Validated,UW Medicine Primary Care at Northgate accepts insurance and self-pay. They also offer financial assistance and discounts for uninsured patients.,https://www.uwmedicine.org/locations/primary-care-northgate; https://pprs.doh.wa.gov/search/444b43fc-02d9-5316-ba7b-f25d3c1164cd
UW Medicine Primary Care at Northgate,Languages,Needs Work,"While English is certainly offered, the clinic also provides services in multiple other languages. Interpreter services are available for over 80 languages, and some providers speak additional languages like Mandarin Chinese.",https://www.uwmedicine.org/patient-resources/interpreter-services; https://depts.washington.edu/tgnbhealthprogram/provider/ying-zhang/
UW Medicine Primary Care at Northgate,Eligibility,Incorrect,"The clinic has restrictions on Medicaid acceptance. WA Apple Health (Medicaid) is accepted only for established patients, dependents of established patients, and patients referred by a UW physician.",https://pprs.doh.wa.gov/search/444b43fc-02d9-5316-ba7b-f25d3c1164cd
UW Medicine Primary Care at Northgate,Service Type,Validated,"UW Medicine Primary Care at Northgate offers comprehensive primary care services, including family medicine, internal medicine, pediatrics, and more.",https://www.uwmedicine.org/locations/primary-care-northgate; https://find-human-services.kingcounty.gov/search/444b43fc-02d9-5316-ba7b-f25d3c1164cd
Swedish First Hill Primary Care,Cost of Service,Validated,The cost of $99 for visits is confirmed on the Swedish First Hill Primary Care webpage.,https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Opening Hours,Validated,The opening hours Mon-Fri: 8am-5pm are correct for Swedish First Hill Primary Care.,https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Phone,Incorrect,The correct phone number for Swedish First Hill Primary Care is 206-386-9505.,https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Website,Validated,The website URL is correct for Swedish First Hill Primary Care.,https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Accepting New Patients,Needs Work,"The search results do not explicitly state whether Swedish First Hill Primary Care is accepting new patients. However, they encourage calling to schedule an appointment, which suggests they may be accepting new patients.",https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Eligibility,Incorrect,"Swedish First Hill Primary Care provides health care services for adults only, not for all ages.",https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Probability of validated,Needs Work,"The phone number is correct, but the hours are outdated. Current hours are Mon-Fri: 8 a.m. - 5 p.m.",https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Source,Validated,"The address, phone number, and fax number are correct. The clinic provides primary care services for adults and is open Monday to Friday from 8 a.m. to 5 p.m.",https://www.swedish.org/locations/first-hill-primary-care; https://www.swedish.org/locations/first-hill-campus/first-hill-primary-care
Swedish First Hill Primary Care,Payment Methods,Validated,Swedish First Hill Primary Care accepts both insurance and self-pay options. They work with various insurance providers and also offer a Self-Pay Program for uninsured or underinsured patients.,https://www.swedish.org/locations/ballard-campus/family-medicine-ballard/faqs; https://www.swedish.org/insurance-providers
